Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8097560975609757,0.9298095238095239,0.7619047619047619,0.9142857142857143,0.8311688311688312,0.630908308763638
Decision Tree,0.9853658536585366,0.9857142857142858,1.0,0.9714285714285714,0.9855072463768116,0.9711511393019859
kNN,0.8634146341463415,0.9629047619047618,0.8737864077669902,0.8571428571428571,0.8653846153846154,0.7269351910363394
Naive Bayes,0.8292682926829268,0.9042857142857142,0.8070175438596491,0.8761904761904762,0.8401826484018264,0.6601634114374199
Random Forest,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0
